idindikator;IDTer;nTer;IDTuristi;nTuristi;IDVrPod;nVrPod;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2201IND01;RS2;СРБИЈА – ЈУГ;1;Домаћи;2;индекси (2010 = 100);00;2000;114.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS2;СРБИЈА – ЈУГ;2;Страни;1;број;00;2000;47397;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS2;СРБИЈА – ЈУГ;2;Страни;2;индекси (2010 = 100);00;2000;25.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;0;Укупно;1;број;00;2000;711940;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;0;Укупно;2;индекси (2010 = 100);00;2000;95.2;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;1;Домаћи;1;број;00;2000;678481;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;1;Домаћи;2;индекси (2010 = 100);00;2000;105.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;2;Страни;1;број;00;2000;33459;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS21;Регион Шумадије и Западне Србије;2;Страни;2;индекси (2010 = 100);00;2000;31.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;0;Укупно;1;број;00;2000;195341;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;0;Укупно;2;индекси (2010 = 100);00;2000;81.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;1;Домаћи;1;број;00;2000;188452;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;1;Домаћи;2;индекси (2010 = 100);00;2000;92.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;2;Страни;1;број;00;2000;6889;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS211;Златиборска област;2;Страни;2;индекси (2010 = 100);00;2000;19.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;0;Укупно;1;број;00;2000;87289;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;0;Укупно;2;индекси (2010 = 100);00;2000;148.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;1;Домаћи;1;број;00;2000;83952;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;1;Домаћи;2;индекси (2010 = 100);00;2000;158.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;2;Страни;1;број;00;2000;3337;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS212;Колубарска област;2;Страни;2;индекси (2010 = 100);00;2000;59.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;0;Укупно;1;број;00;2000;46033;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;0;Укупно;2;индекси (2010 = 100);00;2000;129.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;1;Домаћи;1;број;00;2000;38381;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;1;Домаћи;2;индекси (2010 = 100);00;2000;123.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;2;Страни;1;број;00;2000;7652;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS213;Мачванска област;2;Страни;2;индекси (2010 = 100);00;2000;168.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;0;Укупно;1;број;00;2000;61398;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;0;Укупно;2;индекси (2010 = 100);00;2000;98.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;1;Домаћи;1;број;00;2000;59661;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;1;Домаћи;2;индекси (2010 = 100);00;2000;118.2;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;2;Страни;1;број;00;2000;1737;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS214;Моравичка област;2;Страни;2;индекси (2010 = 100);00;2000;14.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;0;Укупно;1;број;00;2000;11172;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;0;Укупно;2;индекси (2010 = 100);00;2000;70.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;1;Домаћи;1;број;00;2000;10518;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;1;Домаћи;2;индекси (2010 = 100);00;2000;88.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;2;Страни;1;број;00;2000;654;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS215;Поморавска област;2;Страни;2;индекси (2010 = 100);00;2000;16.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS216;Расинска област;0;Укупно;1;број;00;2000;61595;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS216;Расинска област;0;Укупно;2;индекси (2010 = 100);00;2000;125.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
